Austria vessels,4499,156306
steamboat,875,100688
Veneto vessels,718,43179
steamboat,276,92621
Romagna e Marche,434,23372
steamboat,54,12939
Neaples vessels,390,26893
steamboat,16,14417
Sicily vessels,137,24346
steamboat,5,2904
toscana vessels,7,1562
steamboat,,
sardegna vessels,12,2498
steamboat,1,967
Papal State,3,482
Ionic Islands vessels,18,4044
steamboat,,
greece vessels,200,16193
steamboat,,
Mediterranean France vessels,153,45774
steamboat,50,16163
Atlantic France vessels,5,1543
Algeria,4,1049
Spain – vessels,29,8966
Portugal steamboat,,
Uk – Malta _vessels,9,2568
steamboat,9,5200
Uk _ Gibraltar vessels,,
steamboat,,
UK – vessels,221,74333
steamboat,126,108482
Low Countries vessels,19,3239
steamboat,13,6116
Belgium vessels,21,4623
Hamburg ,5,626
Sweden and Norway,11,1368
Russia Black sea vessels,4,920
steamboat,1,1196
Turkey vessels,343,298841
steamboat,249,124525
Moldavia steamboat,,
Valacchia vessels,5,1101
steamboat,,
Egypt vessels,17,23936
steamboat,74,80075
Tripoli,1,158
Tunisia,4,431
African Spain,1,393
American Spain,1,829
American UK,1,182
USA,2,313
Venezuela,39,7071
Brazil,,
,,
total vessels,7376,320973
total steamboat,1719,366293
total general,9095,1087208
