Austria-Hungary,,
Austro-Illirian Litoral vessel,1964,41012
steamboat,446,28703
Hungarian Litoral vessel,207,10228
steamboat,112,32890
Dalmatia vessel,613,22791
steamboat,170,44697
total vessel,2784,74061
total steamboat,728,106290
Americas,,
Canada -UK vessel,,
USA vessels,96,67621
steamboat,,
Other American UK,2,709
Brazil vessels,29,6520
steamboat,,
Venezuela,,
Argentina steamboat,,
Peru,,
Africa,,
Egypt vessels,4,2199
steamboat,52,68355
Algeria vessels,15,3740
steamboat,,
Tripoli vessels,,
steamboat,,
Tunisia vessels,5,442
steamboat,,
West Africa,,
Asia,,
India – UK vessels,,
steamboat,40,54835
China steamboat,9,13800
Australia – UK steamboat,1,1545
Europe1,,
Hamburg steamboat,,
Belgium vessels,3,606
steamboat,,
Bulgaria ,7,1541
Atlantic France vessels,4,1109
steamboat,,
Mediterranean France,28,10637
steamboat,77,60696
Germany vessels,1,204
steamboat,,
UK vessels,42,16244
steamboat,126,140872
Gibraltar – UK vessels,,
steamboat,,
Malta – UK vessels,4,552
steamboat,3,2990
Greece vessels,164,16302
steamboat,29,14983
Italy,,
Veneto vessels,716,34778
steamboat,306,104970
Romagna e Marche vessels,459,17930
steamboat,60,11967
Neaples vessels,275,14103
steamboat,34,9421
Sicily vessels,52,9879
steamboat,3,927
Toscana vessels,,
steamboat,,
Sardegna vessels,3,1095
steamboat,2,1412
Europe 2,,
Montenegro vessels,6,210
steamboat,,
Low Countries vessels,1,387
steamboat,,
Portugal vessels,,
steamboat,,
Rumenia vessels,22,4539
steamboat,8,2257
Russia Black sea vessels,9,2296
steamboat,4,3082
Spain vessels,2,529
steamboat,,
Sweden and Norway vessels,6,971
steamboat,8,1163
Turkey vessels,145,10598
steamboat,298,244083
,,
Total vessel,4884,299802
total steamboat,1778,844148
Total all together,6662,1143950
