Austria-Hungary,,
Austro-Illirian Litoral vessel,2479,46263
steamboat,1846,111211
Hungarian Litoral vessel,175,8284
steamboat,95,34887
Dalmatia vessel,231,10167
steamboat,332,93583
total vessel,2885,64664
total steamboat,2273,239681
Americas,,
Canada UK vessels,,
USA vessels,12,6185
steamboat,8,17669
Bermuda UK vessels,,
Jamaica - UK vessels,4,2048
Trinidad - UK vessels,,
Brazil vessels,,
steamboat,13,17620
Uruguay vessels,,
Africa,,
Egypt vessels,,
steamboat,54,80180
Algeria vessels,8,2176
steamboat,,
Tripoli vessels,,
Tunisia vessels,1,98
steamboat,1,245
Western Africa steamboat,,
Asia,,
Aden - UK steamboat,,
India - UK steamboat,32,62634
Siam - UK vessels,,
China vessels,,
steamboat,6,12061
Japan steamboat,,
Europe1,,
Hamburg steamboat,17,15462
Belgium steamboat,,
Bulgaria steamboat,,
Atlantic France steamboat,6,4742
Mediterranean France,7,2552
steamboat,64,67284
Germany steamboat,1,1052
UK vessels,8,3887
steamboat,136,161810
Gibraltar - UK steamboat,,
Malta - UK vessels,1,184
steamboat,16,8069
Cyprus UK vessels,,
Greece vessels,106,15206
steamboat,70,38362
Italy,,
Veneto vessels,465,14941
steamboat,285,187419
Romagna e Marche vessels,380,15024
steamboat,62,19387
Neaples vessels,211,17738
steamboat,104,27111
Sicily vessels,79,16079
steamboat,83,27225
Toscana vessels,1,235
steamboat,,
Liguria and Sardegna vessels,1,316
steamboat,4,4510
Europe 2,,
Montenegro vessels,2,69
steamboat,1,610
Low Countries steamboat,,
Portugal vessels,,
Rumenia vessels,,
 steamboat,1,958
Russia Black sea vessels,,
steamboat,26,35266
Spain vessels,1,284
steamboat,,
Sweden and Norway vessels,1,210
steamboat,1,306
Turkey vessels,99,7182
steamboat,299,876124
,,
Total vessel,4272,169078
total steamboat,8563,1305787
Total all together,7835,1474865
