Austria vessels,3945,125919
steamboat,1048,106734
Veneto vessels,582,25842
steamboat,279,99175
Romagna e Marche,294,16008
steamboat,52,11610
Neaples vessels,300,16242
steamboat,5,1290
Sicily vessels,97,16167
steamboat,1,508
toscana steamboat,,
sardegna vessels,8,2166
steamboat,,
Papal State,1,144
Ionic Islands vessels,11,2190
steamboat,2,627
greece vessels,177,13581
steamboat,,
Mediterranean France vessels,63,18012
steamboat,46,15981
Atlantic France vessels,3,706
Algeria,4,927
Spain – vessels,7,1492
steamboat,3,1381
Portugal vessel,1,272
steamboat,,
Uk – Malta _vessels,7,1019
steamboat,,
Uk _ Gibraltar vessels,,
steamboat,,
UK – vessels,222,78581
steamboat,106,107723
Low Countries vessels,8,1381
steamboat,8,3400
Belgium vessels,16,4127
steamboat,,
Hamburg  vessels,3,336
steamboat,,
Prussia,1,120
Sweden and Norway,9,1227
Russia Black sea vessels,21,5611
steamboat,1,1051
Turkey vessels,268,22265
steamboat,210,125475
Moldavia vessels,4,843
steamboat,,
Valacchia vessels,41,8097
steamboat,,
Egypt vessels,24,7831
steamboat,58,73356
S. Domingo,6,1440
American Spain,7,1547
USA,53,19688
American UK,10,4403
Argentina,1,201
Venezuela,1,129
Brazil,28,5080
Peru,1,299
Asian UK vessels,6,3713
steamboat,5,4186
,,
total vessels,6230,407606
total steamboat,1824,552197
total general,8054,960103
