Austria vessels,4251,109022
steamboat,649,87125
Veneto vessels,710,21750
steamboat,202,69391
Romagna e Marche,254,13069
steamboat,42,8358
Neaples vessels,435,18835
steamboat,,
Sicily vessels,74,11043
steamboat,,
toscana vessels,,
sardegna vessels,6,11403
steamboat,,
Ionic Islands vessels,14,1036
steamboat,1,188
greece vessels,173,13153
steamboat,9,5294
Mediterranean France vessels,34,8310
steamboat,35,18138
Atlantic France vessels,1,329
Algeria,1,251
Spain – vessels,1,178
Portugal steamboat,,
Uk – Malta _vessels,2,145
steamboat,,
Uk _ Gibraltar steamboat,,
UK – vessels,152,53079
steamboat,94,103697
Low Countries steamboat,2,1460
Belgium vessels,8,2717
steamboat,1,841
Hamburg  vessels,1,116
Sweden and Norway,6,691
Russia Black sea vessels,128,37516
steamboat,9,6394
Turkey vessels,275,26673
steamboat,210,129276
Moldavia vessels,46,10051
steamboat,7,4372
Valacchia vessels,40,8133
steamboat,,
Egypt vessels,9,2600
steamboat,55,63829
Tunisia,4,266
S. Domingo,1,204
USA,52,22342
American UK,2,608
Brazil vessels,20,3792
steamboat,1,804
Peru,4,1219
Asian UK – vessels,3,1741
steamboat,21,20588
Japan,1,1013
,,
total vessels,6707,378269
total steamboat,1339,529765
total general,8046,899087
