Austria-Hungary,,
Austro-Illirian Litoral vessel,1863,36274
steamboat,1977,113464
Hungarian Litoral vessel,44,3986
steamboat,94,45880
Dalmatia vessel,181,6681
steamboat,469,131372
total vessel,2088,46941
total steamboat,2540,290716
Africa,,
Egypt vessels,4,1279
steamboat,58,89120
Algeria vessels,8,1510
steamboat,,
Tripoli vessels,1,80
steamboat,13,5407
Tunisia vessels,,
steamboat,6,1609
Massaua,,
Americas,,
Canada UK – steamboat,,
USA vessels,1,496
steamboat,17,37168
Jamaica - UK vessels,,
Barbados - UK vessels,1,568
Brazil steamboat,16,24308
Argentina vessels,,
Asia,,
India - UK steamboat,13,28733
Japan steamboat,12,31044
Australia – steamboat,,
Europe1,,
Hamburg steamboat,18,16077
Belgium steamboat,,
Bulgaria steamboat,1,61
Atlantic France vessels,1,196
steamboat,18,20181
Mediterranean France vessels,7,2327
steamboat,102,71983
Germany steamboat,,
UK vessels,,
steamboat,96,117217
Gibraltar - UK steamboat,,
Malta - UK vessels,,
steamboat,29,15282
Cyprus – UK  vessels,4,751
steamboat,,
Greece vessels,78,9656
steamboat,9,9995
Italy,,
Veneto vessels,272,6568
steamboat,285,168836
Romagna e Marche vessels,428,13998
steamboat,55,8784
Neaples vessels,289,19487
steamboat,130,41002
Sicily vessels,128,17784
steamboat,74,27346
Toscana vessels,,
Liguria and Sardegna vessels,25,6001
steamboat,65,62406
Europe 2,,
Montenegro vessels,11,327
steamboat,,
Low Countries steamboat,,
Portugal vessels,,
Rumenia  steamboat,,
Russia Black sea vessels,4,4762
steamboat,,
Spain vessels,48,65674
steamboat,2,355
Sweden and Norway vessels,2,1708
Turkey vessels,109,7809
steamboat,378,338043
,,
Total vessel,3457,18683
total steamboat,3989,1477462
Total all together,7446,1613595
