Austria vessels,6678,170507
steamboat,589,57002
Veneto vessels,742,38661
steamboat,306,81090
Romagna e Marche,439,26803
steamboat,52,11876
Neaples vessels,483,34196
steamboat,10,8710
Sicily vessels,138,21404
steamboat,1,330
Papal State,5,1262
toscana vessels,9,1660
steamboat,1,943
sardegna vessels,18,4449
steamboat,,
Ionic Islands vessels,23,4361
steamboat,51,12471
greece vessels,191,14664
steamboat,,
Mediterranean France vessels,232,68888
steamboat,54,21286
Atlantic France vessels,6,1697
Algeria,29,9378
Spain – vessels,16,4795
steamboat,2,540
Portugal vessel,4,1493
steamboat,,
Uk – Malta _vessels,29,8581
steamboat,3,2070
Uk _ Gibraltar vessels,2,813
steamboat,1,607
UK – vessels,173,59565
steamboat,120,96495
Low Countries vessels,19,3547
steamboat,14,7135
Belgium vessels,18,3190
steamboat,1,787
Hamburg ,5,646
Sweden and Norway,9,1139
Russia Baltic sea ,1,150
Russia Black sea vessels,3,598
steamboat,2,1196
Turkey vessels,218,21380
steamboat,173,100220
Moldavia steamboat,,
Valacchia vessels,1,127
steamboat,,
Egypt vessels,37,15445
steamboat,63,62810
African UK,1,349
S. Domingo,4,881
American Spain,4,883
USA,37,11681
Venezuela,4,371
Brazil,32,5876
Asian UK,3,1003
,,
total vessels,9613,54613
total steamboat,1443,465568
total general,11056,1006211
