Austria vessels,7268,178057
steamboat,468,89285
Papal state vessels,621,36171
steamboat,4,1139
Neaples vessels,543,33932
steamboat,1,295
Sicily vessels,135,25973
steamboat,,
Ionic Islands vessels,128,9000
steamboat,53,11383
greece vessels,212,27341
steamboat,,
toscana vessels,13,2848
steamboat,,
sardegna vessels,36,6370
steamboat,,
Mediterranean France vessels,129,31576
steamboat,,
Atlantic France ,21,6945
Algeria,12,3690
Spain,10,2797
Portugal,2,510
Uk – Malta vessels,24,3447
steamboat,,
UK – vessels,45,15010
steamboat,63,58975
Low Countries vessels,22,3853
steamboat,9,3397
Belgium ,3,
Hamburg,10,1718
Bremen,2,334
Prussia,2,323
Denmark,,
Sweden and Norway,2,231
Russia Baltic sea ,7,1077
Russia Black sea ,7,1618
Turkey vessels,297,36399
steamboat,160,61397
Moldavia vessels,,
steamboat,3,841
Valacchia vessels,6,1683
steamboat,,
Egypt vessels,75,24934
steamboat,64,43163
African UK,2,636
African Spain,1,143
S. Domingo,1,163
USA,8,3377
American Denmanrk,1,199
Argentina,1,179
Brazil,42,9387
,,
total vessels,9688,470333
total steamboat,825,269873
total general,10519,740208
