Austria vessels,7508,203242
steamboat,474,92203
Papal state vessels,593,39295
steamboat,6,2422
Neaples vessels,531,28888
steamboat,1,295
Sicily vessels,105,15989
steamboat,,
Ionic Islands vessels,24,2094
steamboat,53,11429
greece vessels,183,14057
steamboat,,
toscana vessels,11,2282
steamboat,,
sardegna vessels,20,4361
steamboat,,
Mediterranean France vessels,75,16663
steamboat,,
Atlantic France ,8,1336
Algeria,2,550
Spain,3,511
Portugal,1,352
Uk – Malta ,5,928
UK – vessels,91,29963
steamboat,65,62437
Low Countries vessels,38,6671
steamboat,8,2997
Belgium,15,2940
Hamburg vessels,7,809
steamboat,1,511
Sweden and Norway,3,496
Russia Black sea vessels,71,18403
steamboat,,
Turkey vessels,268,22282
steamboat,160,62057
Moldavia vessels,12,2410
steamboat,,
Valacchia vessels,90,19872
steamboat,,
Egypt vessels,16,3940
steamboat,56,36302
Tunis,1,139
African UK,5,1236
S. Domingo,10,1906
American Spain,8,1890
USA,6,1943
American UK,1,324
Venezuela,3,568
Brazil,36,7099
Peru,2,796
Asian UK,2,707
total vessels,9751,454921
total steamboat,824,270633
total general,10378,725574
