Austria vessels,7035,219436
steamboat,456,54399
Papal state vessels,610,37671
steamboat,1,544
Neaples vessels,590,29551
steamboat,,
Sicily vessels,104,17226
steamboat,,
Ionic Islands vessels,26,4047
steamboat,53,11476
greece vessels,184,12252
steamboat,,
toscana vessels,11,1479
steamboat,,
sardegna vessels,35,5965
steamboat,,
Mediterranean France vessels,109,27309
steamboat,,
Atlantic France ,13,3014
Algeria,1,325
Spain,4,1040
Portugal,1,229
Uk – Malta ,9,1026
UK – Gibraltar ,,
UK – vessels,109,36461
steamboat,64,60863
Low Countries vessels,59,9612
steamboat,10,3916
Belgium,16,3923
Hamburg,6,504
Prussia,1,192
Denmark,1,115
Sweden and Norway,5,918
Russia Black sea ,36,9881
Turkey vessels,417,96769
steamboat,158,61185
Moldavia vessels,91,4130
steamboat,,
Valacchia vessels,114,20734
steamboat,,
Egypt vessels,14,2839
steamboat,48,34098
Tunis,2,180
S. Domingo,4,511
American Spain,14,4751
USA,10,3029
Venezuela,9,451
Brazil,38,6199
Peru,1,568
Asian UK,1,353
Asian Low Countries,1,279
total vessels,40127,508671
total steamboat,784,200631
total general,40905,709357
