Austria vessels,4478,110505
steamboat,601,88053
Italy vessels,1632,81117
steamboat,364,112499
greece vessels,261,30143
steamboat,31,21761
Mediterranean France vessels,110,35902
steamboat,47,27518
Atlantic France vessels,90,38102
steamboat,3,2397
Algeria vessels,21,7604
steamboat,1,1142
Spain steamboat,2,1385
Portugal ,1,251
UK – Malta vessels,18,2424
steamboat,1,556
Uk _ Gibraltar vessels,1,331
steamboat,,
UK – vessels,14,5355
steamboat,152,158060
Low Countries vessel,4,747
steamboat,2,1987
Belgium vessels,2,450
steamboat,9,6871
Hamburg,2,222
Denmark vessels,1,167
steamboat,,
Sweden and Norway vessels,1,200
steamboat,2,900
Russia Baltic sea vessels,2,236
steamboat,,
Russia Black sea vessels,1,167
steamboat,1,795
Turkey vessels,205,14565
steamboat,266,188384
Moldavia steamboat,3,2846
Valacchia steamboat,1,52
Egypt vessels,3,873
steamboat,57,74381
Maghreb vessels,5,747
steamboat,,
USA vessels,50,27448
steamboat,,
Brazil vessels,51,10849
steamboat,,
Asian UK steamboat,15,19961
,,
total vessels,6983,368405
total steamboat,1568,709548
total general,9811,1077963
