Austria-Hungary vessels,788,35310
steamboat,6817,983549
Belgium steamboat,4,7152
Bulgaria steamboat,,
Crete – Turkey vessels,2,444
steamboat,6,2538
France vessels,6,2042
steamboat,64,54436
Germany steamboat,34,50169
Gibraltar - UK steamboat,,
UK vessels,,
steamboat,264,534753
Greece vessels,35,7973
steamboat,27,34715
Italy vessels,1230,48085
steamboat,625,386557
Malta - UK steamboat,2,1242
Montenegro vessels,4,364
steamboat,1,29
Low Countries steamboat,61,9252
Portugal steamboat,1,378
Rumenia  steamboat,53,111694
Russia Baltic sea steamboat,,
Russia Black sea steamboat,73,109779
Spain vessels,,
steamboat,66,69675
European Turkey vessels,30,1868
steamboat,126,75196
Asian Turkey vessels,3,437
steamboat,130,176750
India - UK steamboat,53,145981
Asian Portugal steamboat,,
Asian Low Countries steamboat,,
Siam UK steamboat,,
Indo-China France steamboat,,
China steamboat,,
Philippines steamboat,3,8475
Japan steamboat,14,52746
Egypt vessels,1,758
steamboat,60,141674
Tripoli vessels,,
steamboat,,
Tunisia steamboat,13,12144
Algeria vessels,1,227
steamboat,17,22534
Morocco steamboat,10,7794
South Africa – UK steamboat,,
Canarias – Spain steamboat,,
Western Africa France steamboat,2,2595
USA vessels,,
steamboat,114,426249
Mexico steamboat,,
Caribbean - UK vessels,1,878
Haiti vessels,,
Brazil steamboat,18,34080
Argentina steamboat,14,46379
Chile vessels,,
Total vessel,2046,98386
total steamboat,8617,3508465
Total all together,10668,3606851
