,,
total general,10710,777555
total vessel,9672,465012
total steamboat,1038,312543
,,
Austria total,8031,461878
Austria vessel,7796,245640
Austria steamboat,835,216238
,,
Foreign total,2079,315677
Foreign vessels,1876,219372
foreign steamboat,203,96305
,,
Papal state vessels,535,31430
steamboat,2,995
Neaples vessels,420,21398
steamboat,,
Sicily vessels,55,13419
steamboat,,
Ionic Islands vessels,54,5429
steamboat,44,9236
greece vessels,187,25500
steamboat,2,721
toscana vessels,14,6561
steamboat,,
sardegna,17,2793
Mediterranean France vessels,,
steamboat,32,7096
Atlantic France ,1,124
Algeria,17,4850
Spain vessels,8,2194
steamboat,3,1583
Uk – Malta vessels,90,14516
steamboat,,
UK – Gibraltar,1,232
steamboat,,
UK – vessels,33,9293
steamboat,27,19492
Low Countries vessels,9,1368
steamboat,6,2344
Belgium,3,641
Hamburg,16,2521
Bremen,1,139
Prussia,2,421
Denmanrk vessels,,
steamboat,,
Sweden and Norway,2,328
Russia Baltic sea vessels,1,125
steamboat,1,174
Russia Black sea vessels,9,3012
steamboat,1,314
Turkey vessels,278,37787
steamboat,99,48543
Moldavia vessels,2,557
steamboat,,
Valacchia vessels,2,565
steamboat,,
Egypt vessels,40,13112
steamboat,18,12903
American Spain,2,871
USA,16,5129
Venezuela,1,140
Brazil,28,7821
