Austria-Hungary,,
Austro-Illirian Litoral vessel,1088,26298
steamboat,8424,192699
Hungarian Litoral vessel,76,3435
steamboat,127,59874
Dalmatia vessel,256,12057
steamboat,649,191514
total vessel,1420,41790
total steamboat,4200,444087
Africa,,
Egypt vessels,2,667
steamboat,67,141921
Algeria vessels,6,2477
steamboat,3,3514
Tripoli vessels,,
Tunisia vessels,,
steamboat,,
Morocco steamboat,,
Western Africa steamboat,1,807
Americas,,
USA vessels,10,6825
steamboat,60,104622
Cuba – American Spain – vessels,1,467
Jamaica - UK vessels,2,733
Trinidad - UK vessels,1,357
Brazil steamboat,17,24742
Argentina vessels,3,1514
Chile vessels,2,1977
Asia,,
India - UK steamboat,30,63227
Siam - UK vessels,,
Japan steamboat,12,33055
Europe1,,
Hamburg vessels,1,686
steamboat,23,24658
Belgium steamboat,3,4178
Bulgaria steamboat,1,1033
Atlantic France steamboat,5,4549
Mediterranean France,7,2719
steamboat,129,119995
Germany steamboat,1,155
UK vessels,1,352
steamboat,195,256180
Gibraltar - UK steamboat,,
Malta - UK vessels,,
steamboat,7,3773
Greece vessels,66,8707
steamboat,28,29094
Italy,,
Veneto vessels,597,18929
steamboat,259,149538
Romagna e Marche vessels,486,15126
steamboat,89,17032
Neaples vessels,119,5346
steamboat,188,58062
Sicily vessels,61,9002
steamboat,157,70126
Toscana steamboat,2,2318
Liguria and Sardegna vessels,1,111
steamboat,6,9818
Europe 2,,
Montenegro vessels,4,120
steamboat,1,391
Low Countries vessels,,
steamboat,6,9961
Portugal vessels,,
Rumenia  steamboat,90,102752
Russia Black sea vessels,1,820
steamboat,80,103354
Spain vessels,,
steamboat,8,7642
Sweden and Norway vessels,,
Turkey vessels,74,6491
steamboat,175,147812
,,
Total vessel,2865,124716
total steamboat,5843,1938369
Total all together,8708,2063112
