Austria-Hungary,,
Austro-Illirian Litoral vessel,1688,36804
steamboat,1424,72482
Hungarian Litoral vessel,138,10210
steamboat,127,36011
Dalmatia vessel,422,16177
steamboat,247,60122
total vessel,2188,60191
total steamboat,1798,168615
Americas,,
Canada -UK vessel,,
USA vessels,39,24085
steamboat,5,6556
Jamaica – UK,6,2388
Martinica – France,,
Brazil vessels,2,420
steamboat,19,19858
Argentina steamboat,,
Peru,1,499
Africa,,
Egypt vessels,3,1572
steamboat,55,66553
Massaua steamboat,,
Algeria vessels,10,2620
steamboat,1,1134
Tripoli steamboat,1,861
Tunisia vessels,5,384
steamboat,1,223
West Africa vessels,,
steamboat,1,388
Asia,,
Aden – UK steamboat,,
India – UK vessels,,
steamboat,30,49441
China steamboat,12,23059
Europe1,,
Hamburg steamboat,17,11799
Belgium vessels,,
steamboat,,
Atlantic France vessels,1,205
steamboat,6,4350
Mediterranean France,21,7571
steamboat,55,42347
Germany steamboat,,
UK vessels,17,7033
steamboat,138,162718
Malta – UK vessels,1,390
steamboat,12,4034
Greece vessels,132,13295
steamboat,,
Italy,17,11744
Veneto vessels,495,22769
steamboat,265,12955
Romagna e Marche vessels,545,22718
steamboat,66,17011
Neaples vessels,332,25011
steamboat,39,15600
Sicily vessels,63,12306
steamboat,56,31870
Toscana vessels,,
steamboat,1,1483
Sardegna vessels,6,2148
steamboat,27,24681
Europe 2,,
Montenegro vessels,8,221
steamboat,,
Low Countries steamboat,,
Rumenia vessels,,
steamboat,5,3541
Russia Black sea vessels,19,9282
steamboat,6,4995
Spain vessels,,
steamboat,,
Sweden and Norway vessels,2,222
steamboat,5,1690
Turkey vessels,132,10942
steamboat,305,251223
,,
Total vessel,4028,229267
total steamboat,2943,1038679
Total all together,6971,1267946
