Austria-Hungary,,
Austro-Illirian Litoral vessel,1572,30510
steamboat,1399,70751
Hungarian Litoral vessel,59,2576
steamboat,140,45174
Dalmatia vessel,539,18804
steamboat,247,61447
total vessel,2170,51890
total steamboat,1786,177872
Americas,,
USA vessels,15,15700
steamboat,38,46569
Brazil vessels,8,703
steamboat,9,9233
St. Thomas – UK vessels,,
Argentina vessels,,
steamboat,1,65
Africa,,
Egypt vessels,14,7366
steamboat,64,76079
Massaua steamboat,,
Algeria vessels,13,4415
steamboat,1,856
Tripoli vessels,,
steamboat,10,2230
Tunisia vessels,4,647
steamboat,,
Asia,,
Aden – UK steamboat,1,1943
India – UK steamboat,21,34165
China steamboat,12,23833
Europe1,,
Hamburg steamboat,18,12760
Belgium steamboat,1,1263
Bulgaria steamboat,2,1944
Atlantic France vessels,9,4266
steamboat,23,17288
Mediterranean France,20,7423
steamboat,64,47040
UK vessels,2,865
steamboat,120,145274
Gibraltar – UK vessels,1,222
steamboat,,
Malta – UK vessels,9,3217
steamboat,,
Greece vessels,170,28535
steamboat,19,11332
Italy,,
Veneto vessels,268,4979
steamboat,234,82940
Romagna e Marche vessels,642,22838
steamboat,59,9607
Neaples vessels,389,23944
steamboat,35,11153
Sicily vessels,135,23545
steamboat,49,25780
Toscana vessels,,
Sardegna vessels,17,4572
steamboat,15,15276
Europe 2,,
Montenegro vessels,2,28
Low Countries steamboat,,
Portugal vessels,,
steamboat,1,549
Rumenia steamboat,2,1640
Russia Black sea vessels,16,9076
steamboat,8,8002
Spain vessels,2,525
steamboat,8,7122
Turkey vessels,165,12585
steamboat,319,265395
,,
Total vessel,4016,227341
total steamboat,2916,1086710
Total all together,6982,1264051
