Austria-Hungary,,
Austro-Illirian Litoral vessel,1390,31552
steamboat,4171,213082
Hungarian Litoral vessel,42,4270
steamboat,171,84588
Dalmatia vessel,170,5492
steamboat,680,205182
total vessel,1602,41314
total steamboat,5022,502852
Africa,,
Egypt vessels,5,1535
steamboat,70,135441
Algeria vessels,1,346
steamboat,1,1135
Tripoli vessels,1,199
steamboat,,
Tunisia vessels,1,64
steamboat,14,7664
Massaua,,
Americas,,
Canada UK – steamboat,1,1838
USA vessels,3,2428
steamboat,37,64474
Jamaica - UK vessels,1,440
Barbados - UK vessels,2,1202
Brazil steamboat,15,21735
Argentina vessels,,
Asia,,
India - UK steamboat,16,34865
Japan steamboat,13,32614
Australia – steamboat,,
Europe1,,
Hamburg steamboat,19,19536
Belgium steamboat,5,7048
Bulgaria steamboat,,
Atlantic France vessels,,
steamboat,18,21251
Mediterranean France vessels,2,338
steamboat,76,59634
Germany steamboat,,
UK vessels,,
steamboat,106,132253
Gibraltar - UK steamboat,1,1347
Malta - UK vessels,2,690
steamboat,3,2610
Cyprus – UK  vessels,2,334
steamboat,,
Greece vessels,56,8974
steamboat,35,28786
Italy,,
Veneto vessels,429,11891
steamboat,278,163050
Romagna e Marche vessels,505,13954
steamboat,85,13379
Neaples vessels,228,11476
steamboat,164,53763
Sicily vessels,81,12531
steamboat,131,64239
Toscana vessels,,
Liguria and Sardegna vessels,25,6880
steamboat,58,63001
Europe 2,,
Montenegro vessels,5,128
steamboat,,
Low Countries steamboat,4,4955
Portugal vessels,1,85
Rumenia  steamboat,2,916
Russia Black sea vessels,24,27049
steamboat,,
Spain vessels,94,129512
steamboat,2,282
Sweden and Norway vessels,7,10788
Turkey vessels,46,4176
steamboat,216,203486
,,
Total vessel,3000,119267
total steamboat,6515,1809221
Total all together,9515,1928488
