Austria vessels,6757,168865
steamboat,432,97478
Papal state vessels,682,40335
steamboat,42,5175
Neaples vessels,510,34362
steamboat,1,143
Sicily vessels,169,28912
steamboat,,
Ionic Islands vessels,66,4689
steamboat,,
greece vessels,174,23930
steamboat,1,497
toscana vessels,7,1244
steamboat,,
sardegna vessels,30,5322
steamboat,,
Mediterranean France vessels,153,40386
steamboat,,
Atlantic France vessels,42,13483
steamboat,,
Algeria,10,3507
Spain,9,2838
Portugal,1,249
Uk – Malta vessels,31,4553
steamboat,,
UK – Gibraltar – Vessels,1,528
steamboat,,
UK – vessels,63,20042
steamboat,44,34649
Low Countries vessels,10,1521
steamboat,6,2280
Belgium ,3,697
Hamburg,11,1709
Bremen,1,139
Prussia,,
Denmark,1,162
Sweden and Norway,1,153
Russia Baltic sea ,6,1069
Russia Black sea vessels,4,1240
steamboat,,
Turkey vessels,264,35929
steamboat,162,60924
Moldavia vessels,4,934
steamboat,,
Valacchia vessels,1,187
steamboat,1,264
Egypt vessels,108,39057
steamboat,122,83354
Tunis,1,49
USA,5,2756
American UK,1,563
Mexico – vessels,1,673
steamboat,5,6983
Argentina,2,348
Brazil,52,11061
Asian UK,2,868
,,
total vessels,9183,492360
total steamboat,870,298455
total general,10053,790815
