Austria-Hungary vessels,643,23803
steamboat,6242,980494
Belgium steamboat,5,7340
Bulgaria steamboat,,
Crete – Turkey vessels,13,2596
steamboat,4,5750
France vessels,2,1521
steamboat,72,74712
Germany steamboat,30,41234
Gibraltar - UK steamboat,2,5191
UK steamboat,70,114081
Greece vessels,57,12297
steamboat,54,89495
Italy vessels,1350,57081
steamboat,626,455007
Malta - UK vessels,,
steamboat,1,2236
Montenegro vessels,,
steamboat,,
Low Countries steamboat,6,10297
Portugal steamboat,2,2327
Rumenia  steamboat,74,139987
Russia Black sea steamboat,96,135522
Spain vessels,4,2803
steamboat,59,56795
European Turkey vessels,50,1630
steamboat,212,250305
Asian Turkey vessels,3,692
steamboat,137,183535
Cyprus vessels,,
India - UK steamboat,35,95719
Asian Portugal steamboat,,
Japan steamboat,12,47544
Egypt vessels,,
steamboat,71,16066
Tripoli vessels,8,1911
steamboat,,
Tunisia steamboat,3,3209
Algeria steamboat,9,14671
Morocco steamboat,10,7196
South Africa – UK steamboat,,
Canarias – Spain steamboat,1,1304
USA vessels,1,1810
steamboat,99,377901
Mexico steamboat,,
Caribbean – France vessels,,
steamboat,5,9948
Caribbean - UK vessels,,
Brazil steamboat,10,18231
Argentina vessels,,
 steamboat,12,28523
Chile vessels,,
Austrialia,1,1447
Total vessel,2132,107591
total steamboat,7959,3318816
Total all together,10091,3426407
