Austria-Hungary vessels,760,41306
steamboat,7243,1281698
Belgium steamboat,3,5163
Bulgaria steamboat,,
Crete – Turkey vessels,3,514
steamboat,5,2115
France vessels,4,1670
steamboat,70,63450
Germany steamboat,40,61547
Gibraltar - UK steamboat,,
UK vessels,,
steamboat,227,482696
Greece vessels,37,9842
steamboat,24,29944
Italy vessels,1014,41073
steamboat,746,480151
Malta - UK steamboat,17,7422
Montenegro vessels,,
steamboat,1,8
Low Countries steamboat,15,28423
Portugal steamboat,,
Rumenia  steamboat,36,85426
Russia Baltic sea steamboat,,
Russia Black sea steamboat,95,162786
Spain vessels,1,470
steamboat,68,68467
European Turkey vessels,32,1693
steamboat,129,79378
Asian Turkey vessels,,
steamboat,125,174500
India - UK steamboat,63,174639
Asian Portugal steamboat,2,4532
Asian Low Countries steamboat,1,2435
Siam UK steamboat,,
Indo-China France steamboat,1,4451
China steamboat,1,1999
Philippines steamboat,1,2908
Japan steamboat,12,47139
Egypt vessels,,
steamboat,58,130390
Tripoli vessels,,
steamboat,2,846
Tunisia steamboat,10,11438
Algeria vessels,2,1267
steamboat,17,28752
Morocco steamboat,10,9141
South Africa – UK steamboat,,
Canarias – Spain steamboat,1,1949
Western Africa France steamboat,1,1459
USA vessels,,
steamboat,105,405666
Mexico steamboat,,
Caribbean - UK vessels,1,743
Haiti vessels,,
Brazil steamboat,18,33678
Argentina steamboat,11,34836
Chile vessels,,
Total vessel,1854,98578
total steamboat,9158,3909432
Total all together,11012,4008010
