Austria-Hungary,,
Austro-Illirian Litoral vessel,2974,61555
steamboat,362,21561
Hungarian Litoral vessel,213,9592
steamboat,116,28048
Dalmatia vessel,818,30516
steamboat,107,60223
total vessel,4005,101663
total steamboat,585,112832
Americas,,
Canada -UK vessel,,
USA vessels,112,66496
steamboat,,
S. Domingo vessels,1,434
Other American UK,,
Brazil vessels,33,6952
steamboat,,
Venezuela,,
Argentina steamboat,,
Peru,,
Africa,,
Egypt vessels,2,672
steamboat,52,65509
Algeria,7,2277
Tripoli vessels,,
steamboat,,
Tunisia vessels,2,624
steamboat,,
Eest Africa,,
Asia,,
India – UK vessels,2,516
steamboat,21,29174
China steamboat,,
Australia – UK steamboat,,
Europe1,,
Belgium vessels,8,1087
steamboat,,
Bulgaria ,,
Atlantic France vessels,1,142
steamboat,,
Mediterranean France,22,6537
steamboat,79,58970
Germany,1,165
UK vessels,77,30758
steamboat,121,129510
Gibraltar – UK vessels,,
steamboat,,
Malta – UK vessels,2,212
steamboat,,
Greece vessels,152,14367
steamboat,3,1394
Italy,914,45098
Veneto vessels,,
steamboat,267,96118
Romagna e Marche vessels,452,19043
steamboat,53,6519
Neaples vessels,228,9670
steamboat,31,8622
Sicily vessels,24,3034
steamboat,8,4942
Toscana vessels,,
steamboat,1,833
Sardegna vessels,,
steamboat,5,1893
Europe 2,1,689
Montenegro vessels,,
steamboat,,
Low Countries vessels,,
steamboat,,
Portugal vessels,,
steamboat,,
Rumenia vessels,22,5500
steamboat,13,7819
Russia Black sea vessels,29,9847
steamboat,33,31479
Spain vessels,4,1471
steamboat,,
Sweden and Norway vessels,13,2139
steamboat,3,1003
Turkey vessels,170,14373
steamboat,265,201147
,,
Total vessel,6288,344970
total steamboat,1536,757100
Total all together,7824,1102070
