"year","boat","volume","type","country","new_loc","port","lon","lat"
1892,"12",4010,"vessel","algeria",2,"Algiers",3.05762,36.699729
1892,"2",1383,"steamboat","algeria",2,"Algiers",3.05762,36.699729
1892,"1",259,"vessel","tunisia",56,"Tunis",10.19274,37.837495
1892,"10",5341,"steamboat","tunisia",56,"Tunis",10.19274,37.837495
1892,"23",46455,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
1892,"10",18310,"steamboat","china",15,"Shanghai",121.473701,31.230416
1892,"19",17858,"steamboat","hamburg",23,"Hamburg",10.000654,53.5503414
1892,"4",2890,"steamboat","atlantic france",22,"Le Havre",0.1079732,49.4938975
1892,"7",2166,"vessel","mediterranean france",22,"Marseille",5.3699525,43.2961743
1892,"57",52459,"steamboat","mediterranean france",22,"Marseille",5.3699525,43.2961743
1892,"1",316,"steamboat","germany",23,"Hamburg",10.000654,53.5503414
1892,"7",3304,"vessel","uk",58,"London",-0.1276473,51.5073219
1892,"130",161016,"steamboat","uk",58,"London",-0.1276473,51.5073219
1892,"19",8427,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1892,"2",289,"vessel","cyprus uk",17,"Famagusta",33.9402361,35.1176638
1892,"64",7981,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1892,"8",5544,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1892,"418",14172,"vessel","veneto",30,"Venezia",12.315515,45.440847
1892,"297",152104,"steamboat","veneto",30,"Venezia",12.315515,45.440847
1892,"338",13795,"vessel","romagna e marche",30,"Ancona",13.5170982,43.6170137
1892,"60",15375,"steamboat","romagna e marche",30,"Ancona",13.5170982,43.6170137
1892,"188",16310,"vessel","neaples",30,"Neaples",14.268124,40.851775
1892,"100",25410,"steamboat","neaples",30,"Neaples",14.268124,40.851775
1892,"75",12439,"vessel","sicily",30,"Palermo",13.3534422,38.11127
1892,"98",37560,"steamboat","sicily",30,"Palermo",13.3534422,38.11127
1892,"1",942,"steamboat","toscana",30,"Livorno",10.3160295,43.5426309
1892,"4",1582,"vessel","liguria and sardegna",30,"Genoa",8.946256,44.40565
1892,"22",13138,"steamboat","liguria and sardegna",30,"Genoa",8.946256,44.40565
1892,"1",34,"vessel","montenegro",38,"Port of Bar",19.083959,42.087462
1892,"1",1185,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1892,"2",200,"vessel","portugal",45,"Lisbon",-9.1365069,38.7077926
1892,"1",180,"vessel","rumenia",46,"Costantza",28.634814,44.159801
1892,"1",934,"steamboat","rumenia",46,"Costantza",28.634814,44.159801
1892,"21",31411,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1892,"3",1789,"vessel","spain",52,"Barcelona",2.1771353,41.3825596
1892,"",1498,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1892,"1",431,"steamboat","sweden and norway",53,"Göteborg",11.97456,57.70887
1892,"91",9169,"vessel","turkey",57,"Izmir",27.144474,38.4153421
1892,"305",284576,"steamboat","turkey",57,"Izmir",27.144474,38.4153421
1868,"6678",170507,"vessel","austria",6,"Other Austro-Hungarian ports",13.776818,45.649526
1868,"589",57002,"steamboat","austria",6,"Other Austro-Hungarian ports",13.776818,45.649526
1868,"742",38661,"vessel","veneto",30,"Venezia",12.315515,45.440847
1868,"306",81090,"steamboat","veneto",30,"Venezia",12.315515,45.440847
1868,"439",26803,"vessel","romagna e marche",30,"Ancona",13.5170982,43.6170137
1868,"52",11876,"steamboat","romagna e marche",30,"Ancona",13.5170982,43.6170137
1868,"483",34196,"vessel","neaples",30,"Neaples",14.268124,40.851775
1868,"10",8710,"steamboat","neaples",30,"Neaples",14.268124,40.851775
1868,"138",21404,"vessel","sicily",30,"Palermo",13.3534422,38.11127
1868,"1",330,"steamboat","sicily",30,"Palermo",13.3534422,38.11127
1868,"5",1262,"vessel","papal state",30,"Ancona",13.5170982,43.6170137
1868,"9",1660,"vessel","toscana",30,"Livorno",10.3160295,43.5426309
1868,"1",943,"steamboat","toscana",30,"Livorno",10.3160295,43.5426309
1868,"18",4449,"vessel","sardegna",30,"Cagliari",9.1128513,39.2169525
1868,"23",4361,"vessel","ionic islands",25,"Zakynthos",20.899876,37.787033
1868,"51",12471,"steamboat","ionic islands",25,"Zakynthos",20.899876,37.787033
1868,"191",14664,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1868,"232",68888,"vessel","mediterranean france",22,"Marseille",5.3699525,43.2961743
1868,"54",21286,"steamboat","mediterranean france",22,"Marseille",5.3699525,43.2961743
1868,"6",1697,"vessel","atlantic france",22,"Le Havre",0.1079732,49.4938975
1868,"29",9378,"vessel","algeria",2,"Algiers",3.05762,36.699729
1868,"16",4795,"vessel","spain",52,"Barcelona",2.1771353,41.3825596
1868,"2",540,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1868,"4",1493,"vessel","portugal",45,"Lisbon",-9.1365069,38.7077926
1868,"29",8581,"vessel","uk malta",35,"La Valletta",14.514553,35.898908
1868,"3",2070,"steamboat","uk malta",35,"La Valletta",14.514553,35.898908
1868,"2",813,"vessel","uk gibraltar",24,"Gibraltar",-5.353585,36.140751
1868,"1",607,"steamboat","uk gibraltar",24,"Gibraltar",-5.353585,36.140751
1868,"173",59565,"vessel","uk",58,"London",-0.1276473,51.5073219
1868,"120",96495,"steamboat","uk",58,"London",-0.1276473,51.5073219
1868,"19",3547,"vessel","low countries",41,"Rotterdam",4.488623269,51.92779805
1868,"14",7135,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1868,"18",3190,"vessel","belgium",8,"Ostend",2.928656,51.21543
1868,"1",787,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1868,"5",646,"vessel","hamburg",23,"Hamburg",10.000654,53.5503414
1868,"9",1139,"vessel","sweden and norway",53,"Göteborg",11.97456,57.70887
1868,"1",150,"vessel","russia baltic sea",48,"St Petersburg",30.335099,59.93428
1868,"3",598,"vessel","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1868,"2",1196,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1868,"218",21380,"vessel","turkey",57,"Izmir",27.144474,38.4153421
1868,"173",100220,"steamboat","turkey",57,"Izmir",27.144474,38.4153421
1868,"1",127,"vessel","valacchia",46,"Costantza",28.634814,44.159801
1868,"37",15445,"vessel","egypt",20,"Alexandria",29.8943785,31.1990035
1868,"63",62810,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1868,"1",349,"vessel","african uk",51,"Capetown",18.424055,-33.924868
1868,"4",881,"vessel","s domingo",19,"Santo Domingo",-69.883565,18.526127
1868,"4",883,"vessel","american spain",16,"Havana, Cuba",-82.3658561,23.1379911
1868,"37",11681,"vessel","usa",60,"New York",-73.9865811,40.7305991
1868,"4",371,"vessel","venezuela",61,"La Guaira",-66.921363,10.587508
1868,"32",5876,"vessel","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1868,"3",1003,"vessel","asian uk",27,"Calcutta, India",88.3476023,22.5677459
1901,"1025",32172,"vessel","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1901,"5719",594769,"steamboat","austria hungary",6,"Other Austro-Hungarian ports",13.776819,46.649526
1901,"2",2456,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1901,"2",2326,"steamboat","bulgaria",11,"Varna",27.9017131,43.2166104
1901,"2",306,"vessel","crete turkey",57," Herakleio",25.144213,35.338735
1901,"4",4824,"steamboat","crete turkey",57," Herakleio",25.144213,35.338735
1901,"2",494,"vessel","france",22,"Marseille",5.3699525,43.2961743
1901,"148",121260,"steamboat","france",22,"Marseille",5.3699525,43.2961743
1901,"25",26821,"steamboat","germany",23,"Hamburg",10.000654,53.5503414
1901,"148",217067,"steamboat","uk",58,"London",-0.1276473,51.5073219
1901,"47",7288,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1901,"64",49704,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
1901,"1460",51906,"vessel","italy",30,"Ancona",13.5170982,43.6170137
1901,"690",365583,"steamboat","italy",30,"Ancona",13.5170982,43.6170137
1901,"12",5850,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1901,"4",123,"vessel","montenegro",38,"Port of Bar",19.083959,42.087462
1901,"2",5196,"steamboat","low countries",41,"Rotterdam",4.488623269,51.92779805
1901,"1",140,"steamboat","portugal",45,"Lisbon",-9.1365069,38.7077926
1901,"56",75873,"steamboat","rumenia",46,"Costantza",28.634814,44.159801
1901,"49",62186,"steamboat","russia black sea",48,"Novorossiysk",37.7690711,44.7239578
1901,"1",1431,"steamboat","spain",52,"Barcelona",2.1771353,41.3825596
1901,"63",3011,"vessel","european turkey",57,"Istambul",28.9651646,41.0096334
1901,"76",87025,"steamboat","european turkey",57,"Istambul",28.9651646,41.0096334
1901,"7",1053,"vessel","asian turkey",57,"Izmir",27.144474,38.4153421
1901,"129",125730,"steamboat","asian turkey",57,"Izmir",27.144474,38.4153421
1901,"1",1053,"steamboat","cyprus uk",17,"Famagusta",33.9402361,35.1176638
1901,"45",105181,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
1901,"2",3776,"steamboat","china",15,"Shanghai",121.473701,31.230416
1901,"12",35697,"steamboat","japan",32,"Tokyo",139.691706,35.689488
1901,"65",140750,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1901,"2",102,"vessel","tripoli",33,"Tripoli",13.191338,32.887209
1901,"1",823,"steamboat","tunisia",56,"Tunis",10.19274,37.837495
1901,"5",1584,"vessel","algeria",2,"Algiers",3.05762,36.699729
1901,"9",5125,"steamboat","algeria",2,"Algiers",3.05762,36.699729
1901,"2",3444,"steamboat","south africa uk",51,"Cape Town",18.424055,-33.924868
1901,"1",987,"steamboat","western africa france",49,"Dakar",-17.366029,14.764504
1901,"10",6428,"vessel","usa",60,"New York",-73.9865811,40.7305991
1901,"57",99765,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1901,"1",791,"vessel","caribbean uk",31,"Kingston, Jamaica",-76.7928127,17.9712148
1901,"15",23713,"steamboat","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1901,"1",1709,"steamboat","argentina",4,"Buenos Aires",-58.4460878,-34.6143904
1901,"3",3270,"steamboat","chile",14,"Valparaiso",-71.6198031,-33.0462474
1882,"2216",45387,"vessel","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1882,"421",27187,"steamboat","austro illirian litoral",6,"Other Austro-Hungarian ports",13.776819,46.649526
1882,"191",9072,"vessel","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1882,"114",31416,"steamboat","hungarian litoral",6,"Other Austro-Hungarian ports",13.776818,45.649526
1882,"594",20925,"vessel","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1882,"250",81079,"steamboat","dalmatia",6,"Other Austro-Hungarian ports",13.776818,45.649526
1882,"87",56393,"vessel","usa",60,"New York",-73.9865811,40.7305991
1882,"1",1476,"steamboat","usa",60,"New York",-73.9865811,40.7305991
1882,"5",2188,"vessel","other american uk",31,"Kingston",-76.7928127,17.9712148
1882,"28",5937,"vessel","brazil",10,"Rio de Janeiro",-43.2093726,-22.9110136
1882,"1",159,"vessel","venezuela",61,"La Guaira",-66.921363,10.587508
1882,"1",1126,"steamboat","argentina",4,"Buenos Aires",-58.4460878,-34.6143904
1882,"1",338,"vessel","peru",42,"Chimbote",-78.589011,-9.063336
1882,"1",487,"vessel","egypt",20,"Alexandria",29.8943785,31.1990035
1882,"63",82234,"steamboat","egypt",20,"Alexandria",29.8943785,31.1990035
1882,"10",2717,"vessel","algeria",2,"Algiers",3.05762,36.699729
1882,"5",708,"vessel","tunisia",56,"Tunis",10.19274,37.837495
1882,"53",78714,"steamboat","india uk",27,"Calcutta ",88.363895,22.572646
1882,"11",18427,"steamboat","china",15,"Shanghai",121.473701,31.230416
1882,"5",842,"vessel","belgium",8,"Ostend",2.928656,51.21543
1882,"4",3146,"steamboat","belgium",8,"Ostend",2.928656,51.21543
1882,"1",175,"vessel","bulgaria",11,"Varna",27.9017131,43.2166104
1882,"1",885,"steamboat","atlantic france",22,"Le Havre",0.1079732,49.4938975
1882,"30",9803,"vessel","mediterranean france",22,"Marseille",5.3699525,43.2961743
1882,"78",59310,"steamboat","mediterranean france",22,"Marseille",5.3699525,43.2961743
1882,"33",13846,"vessel","uk",58,"London",-0.1276473,51.5073219
1882,"132",152476,"steamboat","uk",58,"London",-0.1276473,51.5073219
1882,"1",401,"steamboat","gibraltar uk",24,"Gibraltar",-5.353585,36.140751
1882,"2",563,"steamboat","malta uk",35,"La Valletta",14.514553,35.898908
1882,"142",12495,"vessel","greece",25,"Thessaloniki",22.9352716,40.6403167
1882,"8",4756,"steamboat","greece",25,"Thessaloniki",22.9352716,40.6403167
