"X","year","boat","volume","type","country","port","long","lat","distance"
35,1859,"1",232,"vessel","uk – gibraltar","",51.791921,-0.90223,1664
36,1859,"",NA,"steamboat","uk – gibraltar","",51.791921,-0.90223,1664
37,1859,"33",9293,"vessel","uk –","London",51.5073219,-0.1276473,2968
38,1859,"27",19492,"steamboat","uk –","London",51.5073219,-0.1276473,2968
39,1859,"9",1368,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
40,1859,"6",2344,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
41,1859,"3",641,"vessel","belgium","Ostend",50.1160632,8.72011225465,2933
42,1859,"16",2521,"vessel","hamburg","",53.5503414,10.000654,3262
43,1859,"1",139,"vessel","bremen",NA,NA,NA,NA
44,1859,"2",421,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
45,1859,"",NA,"vessel","denmanrk",NA,NA,NA,NA
46,1859,"",NA,"steamboat","denmanrk",NA,NA,NA,NA
47,1859,"2",328,"vessel","sweden and norway",NA,NA,NA,NA
48,1859,"1",125,"vessel","russia baltic sea","St Petersburg",27.7703796,-82.6695084,4251
49,1859,"1",174,"steamboat","russia baltic sea","St Petersburg",27.7703796,-82.6695084,4251
50,1859,"9",3012,"vessel","russia black sea","Novorossiysk",44.7239578,37.7690711,1608
51,1859,"1",314,"steamboat","russia black sea","Novorossiysk",44.7239578,37.7690711,1608
52,1859,"278",37787,"vessel","turkey","Izmir",38.4153421,27.144474,1007
53,1859,"99",48543,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
54,1859,"2",557,"vessel","moldavia","",47.286747,28.5110236,1400
55,1859,"",NA,"steamboat","moldavia","",47.286747,28.5110236,1400
56,1859,"2",565,"vessel","valacchia",NA,NA,NA,NA
57,1859,"",NA,"steamboat","valacchia",NA,NA,NA,NA
58,1859,"40",13112,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
59,1859,"18",12903,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
60,1859,"2",871,"vessel","american spain","Havana, Cuba",23.1379911,-82.3658561,5677
61,1859,"16",5129,"vessel","usa","New York",40.7305991,-73.9865811,4854
62,1859,"1",140,"vessel","venezuela","Puerto la Cruz",28.4159024,-16.5532955,5201
63,1859,"28",7821,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
64,1860,"",NA,"vessel","",NA,NA,NA,NA
68,1860,"",NA,"vessel","",NA,NA,NA,NA
70,1860,"7241",210389,"vessel","austria","",47.2000338,13.199959,0
