NEW,OLD,Port,lat,lon,nautical_miles,sea_basin,continent
"Aden, UK",aden uk,Aden,"12,785497","45,018655",2688,Indian Ocean,Middle East
Egypt,egypt,Alexandria,"31,1990035","29,8943785",1191,Mediterranean,Africa
"Algeria, France",algeria,Algiers,"36,699729","3,05762",1254,Mediterranean,Africa
"Algeria, France",maghreb,Algiers,"36,699729","3,05762",1254,Mediterranean,Africa
Italy,italy,Ancona,"43,6170137","13,5170982",130,Mediterranean,South Europe
Italy,papal state,Ancona,"43,6170137","13,5170982",130,Mediterranean,South Europe
Italy,romagna e marche,Ancona,"43,6170137","13,5170982",130,Mediterranean,South Europe
Iran,persia,Bandar Abbas,"27,183222","56,266645",4136,Mediterranean,South Europe
"Thailand, UK",siam uk,Bangkok,"13,756331","100,501765",7139,Pacific Ocean,Asia
Spain,spain,Barcelona,"41,3825596","2,1771353",1313,Mediterranean,South Europe
Germany,bemen,Bremerhaven,"53,5522264","8,5865509",3214,North Sea,North Europe
Germany,bremen,Bremerhaven,"53,5522264","8,5865509",3214,North Sea,North Europe
Germany,hannover,Bremerhaven,"53,5522264","8,5865509",3214,North Sea,North Europe
"Barbados, UK",barbados uk,Bridgetown,"13,0977832","-59,6184183",4870,North Atlantic,Central America
Argentina,argentina,Buenos Aires,"-34,6143904","-58,4460878",6937,South Atlantic,South America
Italy,sardegna,Cagliari,"39,2169525","9,1128513",947,Mediterranean,South Europe
"India, UK",india uk,Calcutta,"22,572646","88,363895",5985,Indian Ocean,Asia
"India, UK",asian uk,"Calcutta, India","22,5677459","88,3476023",5985,Indian Ocean,Asia
"South Africa, UK",south africa uk,Cape Town,"-33,924868","18,424055",6640,South Atlantic,Africa
"South Africa, UK",african uk,Capetown,"-33,924868","18,424055",6640,South Atlantic,Africa
"Morocco, France",morocco,Casablanca,"33,5949733","-7,6188008",1835,Mediterranean,Africa
Peru,peru,Chimbote,"-9,063336","-78,589011",10865,Pacific Ocean,South America
Denmark,denmanrk,Copenhagen,"55,6867243","12,5700724",3560,North Sea,North Europe
Denmark,denmark,Copenhagen,"55,6867243","12,5700724",3560,North Sea,North Europe
Rumenia,moldavia,Costantza,"44,159801","28,634814",1348,Black sea,East Europe
Romania,rumenia,Costantza,"44,159801","28,634814",1348,Black sea,East Europe
Romania,valacchia,Costantza,"44,159801","28,634814",1348,Black sea,East Europe
"Senegal, France",west africa,Dakar,"14,764504","-17,366029",3146,North Atlantic,Africa
"Senegal, France",western africa,Dakar,"14,764504","-17,366029",3146,North Atlantic,Africa
"Senegal, France",western africa france,Dakar,"14,764504","-17,366029",3146,North Atlantic,Africa
"Cyprus, UK",cyprus,Famagusta,"35,1176638","33,9402361",1317,Mediterranean,South Europe
"Cyprus, UK",cyprus uk,Famagusta,"35,1176638","33,9402361",1317,Mediterranean,South Europe
"Sierra Leone, UK",western africa uk,Freetown,"8,465676","-13,231722",3637,North Atlantic,Africa
Italy,liguria and sardegna,Genoa,"44,40565","8,946256",1118,Mediterranean,South Europe
Sweden and Norway,norway,Gï¿½teborg,"57,70887","11,97456",3453,Baltic sea,North Europe
Sweden and Norway,sweden and norway,Gï¿½teborg,"57,70887","11,97456",3453,Baltic sea,North Europe
"Gibraltar, UK",gibraltar uk,Gibraltar,"36,140751","-5,353585",1664,Mediterranean,South Europe
"Gibraltar, UK",uk gibraltar,Gibraltar,"36,140751","-5,353585",1664,Mediterranean,South Europe
Germany,germany,Hamburg,"53,5503414","10,000654",3262,North Sea,North Europe
Germany,hamburg,Hamburg,"53,5503414","10,000654",3262,North Sea,North Europe
"Bermuda, UK",bermuda uk,Hamilton,"32,3078","-64,7505",4569,North Atlantic,Central America
"Cuba, Spain",cuba american spain,Havana,"23,113593","-82,366596",5677,North Atlantic,Central America
"Cuba, Spain",american spain,"Havana, Cuba","23,1379911","-82,3658561",5677,North Atlantic,Central America
Turkey,crete turkey,Herakleio,"35,338735","25,144213",854,Mediterranean,South Europe
Turkey,european turkey,Istambul,"41,0096334","28,9651646",1162,Mediterranean,Middle East
Turkey,asian turkey,Izmir,"38,4153421","27,144474",1007,Mediterranean,Middle East
Turkey,turkey,Izmir,"38,4153421","27,144474",1007,Mediterranean,Middle East
"Indonesia, Netherlands",asian low countries,Jakarta,"-6,208763","106,845599",6568,Indian Ocean,Asia
"Indonesia, Netherlands",sumatra,Jakarta,"-6,208763","106,845599",6568,Indian Ocean,Asia
"Jamaica, UK",jamaica uk,Kingston,"17,9712148","-76,7928127",5561,North Atlantic,Central America
"Jamaica, UK",other american uk,Kingston,"17,9712148","-76,7928127",5561,North Atlantic,Central America
"Jamaica, UK",caribbean uk,"Kingston, Jamaica","17,9712148","-76,7928127",5561,North Atlantic,Central America
Venezuela,venezuela,La Guaira,"10,587508","-66,921363",5300,North Atlantic,South America
"Malta, UK",malta uk,La Valletta,"35,898908","14,514553",730,Mediterranean,South Europe
"Malta, UK",uk malta,La Valletta,"35,898908","14,514553",730,Mediterranean,South Europe
France,atlantic france,Le Havre,"49,4938975","0,1079732",2804,North Atlantic,North Europe
Portugal,portugal,Lisbon,"38,7077926","-9,1365069",1947,North Atlantic,South Europe
Italy,toscana,Livorno,"43,5426309","10,3160295",1047,Mediterranean,South Europe
UK,uk,London,"51,5073219","-0,1276473",2968,North Sea,North Europe
"Angola, Portugal",african portugal,Luanda,"-8,839988","13,289437",5543,South Atlantic,Africa
"Macao, China, Portugal",asian portugal,Macao,"22,198745","113,543873",2968,North Sea,North Europe
Philippines,philippines,Manila,"14,599512","120,98422",7649,South China Sea,Oceania
"Mozambique, Portugal",eastern africa portugal,Maputo,"-25,891968","32,605135",5632,Indian Ocean,Africa
France,france,Marseille,"43,2961743","5,3699525",1210,Mediterranean,South Europe
France,mediterranean france,Marseille,"43,2961743","5,3699525",1210,Mediterranean,South Europe
Eritrea,massaua,Massawa,"15,6042235","39,4652299",2354,Indian Ocean,Africa
Uruguay,uruguay,Montevideo,"-34,9059038","-56,1913568",6840,South Atlantic,South America
