Austria-Hungary vessels,1089,36961
steamboat,4216,491177
Belgium steamboat,3,3721
Bulgaria vessels,2,612
 steamboat,5,5427
Crete – Turkey vessels,11,1099
steamboat,14,18456
France vessels,4,1162
steamboat,155,129682
Germany steamboat,30,32418
Gibraltar - UK steamboat,,
UK vessels,3,1360
steamboat,151,209999
Greece vessels,39,4354
steamboat,60,45730
Italy vessels,1402,52659
steamboat,664,348597
Malta - UK vessels,,
steamboat,,2151
Montenegro vessels,8,201
steamboat,1,25
Low Countries steamboat,2,4391
Portugal steamboat,2,1702
Rumenia  vessels,1,556
steamboat,68,89596
Russia Black sea steamboat,39,50332
Spain steamboat,1,1431
Sweden and Norway steamboat,,
European Turkey vessels,60,3068
steamboat,81,86848
Asian Turkey vessels,5,1090
steamboat,122,117727
Cyprus – UK  steamboat,,
India - UK steamboat,38,85230
Indo-China France steamboat,,
China steamboat,1,1632
Japan steamboat,12,36406
Egypt steamboat,64,135532
Tripoli vessels,,
Tunisia vessels,,
steamboat,,
Algeria vessels,4,1403
steamboat,9,6589
Morocco steamboat,,
Eastern Africa Portugal steamboat,1,1710
South Africa – UK steamboat,,
Western Africa France steamboat,1,1311
Western Africa UK steamboat,,
USA vessels,6,4805
steamboat,61,109180
Mexico steamboat,,
Caribbean - UK vessels,3,1256
Brazil vessels,1,501
steamboat,18,26381
Argentina vessels,3,2681
steamboat,,
Chile steamboat,2,1975
Australia – steamboat,,
Total vessel,2643,115243
total steamboat,5882,2043381
Total all together,8465,2158624
