Austria-Hungary vessels,1163,38646
steamboat,4384,498582
Belgium steamboat,8,3649
Bulgaria vessels,,
 steamboat,2,2281
Crete – Turkey vessels,8,1142
steamboat,,
France vessels,5,1589
steamboat,120,109583
Germany steamboat,22,23251
Gibraltar - UK steamboat,,
UK vessels,2,754
steamboat,165,230626
Greece vessels,39,6435
steamboat,30,36276
Italy vessels,1518,56865
steamboat,730,331619
Malta - UK vessels,1,150
steamboat,6,3509
Montenegro vessels,5,140
steamboat,1,391
Low Countries steamboat,15,26624
Portugal steamboat,,
Rumenia  vessels,,
steamboat,76,98017
Russia Black sea steamboat,74,101244
Spain steamboat,10,8711
Sweden and Norway steamboat,,
European Turkey vessels,74,3970
steamboat,131,118379
Asian Turkey vessels,4,555
steamboat,75,67366
Cyprus – UK  steamboat,,
India - UK steamboat,38,82583
Indo-China France steamboat,1,2808
China steamboat,,
Japan steamboat,14,36948
Egypt steamboat,65,141149
Tripoli vessels,1,72
Tunisia vessels,,
steamboat,,
Algeria vessels,4,1563
steamboat,2,1017
Morocco steamboat,,
Eastern Africa Portugal steamboat,,
South Africa – UK steamboat,,
Western Africa France steamboat,1,835
Western Africa UK steamboat,,
USA vessels,12,8356
steamboat,63,110429
Mexico steamboat,,
Caribbean - UK vessels,2,859
Brazil vessels,,
steamboat,15,23471
Argentina vessels,2,1554
steamboat,,
Chile steamboat,2,2616
Australia – steamboat,1,2141
Total vessel,2842,125266
total steamboat,6044,2056480
Total all together,8886,2181746
