Austria-Hungary vessels,1288,38751
steamboat,4411,497946
Belgium steamboat,7,8695
Bulgaria steamboat,,
Crete – Turkey vessels,23,3204
steamboat,7,7466
France vessels,5,2728
steamboat,102,98173
Germany steamboat,22,23251
Gibraltar - UK vessels,,
steamboat,,
UK steamboat,106,146862
Greece vessels,72,12247
steamboat,29,37719
Italy vessels,1313,53705
steamboat,768,389783
Malta - UK vessels,,
steamboat,5,6378
Montenegro vessels,7,216
steamboat,2,416
Low Countries steamboat,1,1677
Portugal steamboat,2,1328
Rumenia steamboat,45,50088
Russia Black sea vessels,,
steamboat ,117,164064
Spain vessels,1,850
 steamboat,8,10281
European Turkey vessels,70,2281
steamboat,171,182091
Asian Turkey vessels,17,3772
steamboat,77,69682
Cyprus – UK vessels,2,345
 steamboat,1,787
Persia steamboat,,
India - UK steamboat,26,59951
China steamboat,,
Japan steamboat,12,34188
Egypt vessels,,
steamboat,38,132485
Tripoli vessels,1,130
steamboat,4,5118
Tunisia vessels,2,146
steamboat,9,5745
Algeria vessels,5,1035
steamboat,4,6523
Morocco steamboat,,
Eastern Africa Portugal steamboat,,
South Africa – UK steamboat,,
Canada – UK vessels,,
steamboat,1,2041
USA vessels,1,749
steamboat,48,90169
Mexico steamboat,,
Caribbean – France vessels,,
Caribbean - UK vessels,,
Brazil steamboat,15,22861
Argentina vessels,,
steamboat,,
Australia vessels,,
Total vessel,2897,120159
total steamboat,6058,2051655
Total all together,8863,2171817
