Austria-Hungary,,
Austro-Illirian Litoral vessel,2179,44847
steamboat,2111,117989
Hungarian Litoral vessel,63,6014
steamboat,121,50608
Dalmatia vessel,174,5992
steamboat,460,133048
total vessel,2416,56853
total steamboat,2692,301595
Americas,,
Canada UK vessels,,
USA vessels,1,493
steamboat,17,35010
Barbados – UK vessels,,
Brazil vessels,,
steamboat,12,16962
Argentina steamboat,,
Africa,,
Egypt vessels,8,3566
steamboat,55,80541
Massaua steamboat,,
Algeria vessels,4,800
steamboat,,
Tripoli steamboat,12,5066
Tunisia vessels,8,732
steamboat,20,8905
Asia,,
India – UK steamboat,15,33149
China steamboat,1,1789
Japan steamboat,11,27711
Australia vessels,,
Europe1,,
Hamburg steamboat,17,16959
Belgium steamboat,2,1441
Bulgaria steamboat,,
Denmark steamboat,,
Atlantic France vessels,1,671
steamboat,25,25240
Mediterranean France,9,3494
steamboat,62,44713
UK steamboat,86,106284
Gibraltar – UK vessels,1,170
steamboat,,
Malta – UK vessels,,
steamboat,5,3769
Cyprus UK vessels,10,1323
Greece vessels,70,7722
steamboat,8,5221
Italy,,
Veneto vessels,233,5462
steamboat,342,186642
Romagna e Marche vessels,404,13726
steamboat,51,8980
Neaples vessels,284,18335
steamboat,158,43906
Sicily vessels,150,21174
steamboat,78,30957
Toscana steamboat,1,2321
Liguria and Sardegna vessels,28,6429
steamboat,67,64795
Europe 2,,
Montenegro vessels,2,70
Portugal vessels,,
steamboat,1,300
Rumenia steamboat,4,4205
Russia Black sea vessels,,
steamboat,38,58557
Spain vessels,1,271
steamboat,8,2980
Turkey vessels,102,8341
steamboat,338,314366
,,
Total vessel,3722,149632
total steamboat,4121,1437364
Total all together,7843,1576996
