Austria vessels,4492,116087
steamboat,632,81959
Italy vessels,1279,66349
steamboat,340,110753
greece vessels,254,31030
steamboat,57,36250
Mediterranean France vessels,152,43939
steamboat,62,20104
Atlantic France vessels,109,53815
Algeria vessels,13,4552
Spain vessels,1,119
steamboat,,
Portugal steamboat,,
UK – Malta vessels,15,2377
steamboat,1,859
Uk _ Gibraltar steamboat,5,3592
UK – vessels,8,3278
steamboat,127,126677
Low Countries vessel,7,1233
Hamburg,4,832
Denmark,,
Sweden and Norway,1,139
Russia Baltic sea vessels,6,781
Russia Black sea vessels,6,1457
steamboat,3,2852
Turkey vessels,226,20561
steamboat,229,147543
Moldavia steamboat,4,4171
Valacchia vessels,2,423
steamboat,1,990
Egypt vessels,17,7091
steamboat,56,67384
Tunisia,4,489
USA vessels,10,4718
steamboat,8,9232
Brazil vessels,54,11191
Asian UK steamboat,16,18478
,,
,,
total vessels,6660,870461
total steamboat,1541,638874
total general,8201,1009335
