Austria-Hungary,,
Austro-Illirian Litoral vessel,2372,41934
steamboat,1846,107176
Hungarian Litoral vessel,153,7217
steamboat,91,34413
Dalmatia vessel,256,10669
steamboat,348,87516
total vessel,2781,59820
total steamboat,2285,229105
Americas,,
Canada UK vessels,,
USA vessels,30,15298
steamboat,6,14744
Bermuda UK vessels,,
Jamaica - UK vessels,4,1849
Trinidad - UK vessels,,
Brazil vessels,1,198
steamboat,15,20075
Uruguay vessels,,
Africa,,
Egypt vessels,1,480
steamboat,57,84049
Algeria vessels,11,3065
steamboat,2,1356
Tripoli vessels,1,72
Tunisia vessels,2,161
steamboat,2,490
Western Africa steamboat,,
Asia,,
Aden - UK steamboat,,
India - UK steamboat,35,66180
Siam - UK vessels,,
China vessels,1,747
steamboat,5,10308
Japan steamboat,,
Europe1,,
Hamburg steamboat,17,14826
Belgium steamboat,,
Bulgaria steamboat,1,266
Atlantic France steamboat,8,6789
Mediterranean France,8,2570
steamboat,54,57008
Germany steamboat,,
UK vessels,6,2780
steamboat,152,192036
Gibraltar - UK steamboat,,
Malta - UK vessels,,
steamboat,12,4095
Cyprus UK vessels,1,130
Greece vessels,80,9125
steamboat,77,43107
Italy,,
Veneto vessels,466,17467
steamboat,293,175481
Romagna e Marche vessels,428,19191
steamboat,63,12452
Neaples vessels,295,25219
steamboat,89,18885
Sicily vessels,58,11887
steamboat,79,28453
Toscana vessels,,
steamboat,,
Liguria and Sardegna vessels,1,166
steamboat,6,6495
Europe 2,,
Montenegro vessels,,
steamboat,,
Low Countries steamboat,,
Portugal vessels,,
Rumenia vessels,,
 steamboat,,
Russia Black sea vessels,2,364
steamboat,42,45192
Spain vessels,1,200
steamboat,,
Sweden and Norway vessels,,
steamboat,5,1617
Turkey vessels,109,7750
steamboat,281,259921
,,
Total vessel,4288,178805
total steamboat,3585,1292659
Total all together,7873,1471464
