Austria-Hungary,,
Austro-Illirian Litoral vessel,2481,42149
steamboat,1815,103708
Hungarian Litoral vessel,85,4262
steamboat,109,40131
Dalmatia vessel,316,12338
steamboat,349,90681
total vessel,2832,58749
total steamboat,2273,234520
Americas,,
Canada UK vessels,,
USA vessels,1,651
steamboat,19,43849
Barbados – UK vessels,,
Brazil vessels,1,198
steamboat,11,15296
Argentina steamboat,,
Africa,,
Egypt vessels,7,2525
steamboat,56,83698
Massaua steamboat,1,714
Algeria vessels,8,2321
steamboat,1,916
Tripoli steamboat,15,7232
Tunisia vessels,5,1228
steamboat,7,1818
Asia,,
India – UK steamboat,17,38069
China steamboat,7,13785
Japan steamboat,,
Australia vessels,1,632
Europe1,,
Hamburg steamboat,15,13506
Belgium steamboat,,
Bulgaria steamboat,,
Denmark steamboat,,
Atlantic France vessels,3,1954
steamboat,30,27490
Mediterranean France,7,3127
steamboat,6,3325
UK steamboat,98,119957
Gibraltar – UK vessels,,
steamboat,1,289
Malta – UK vessels,4,385
steamboat,5,1934
Cyprus UK vessels,3,799
Greece vessels,100,12981
steamboat,73,39110
Italy,,
Veneto vessels,217,4452
steamboat,275,171379
Romagna e Marche vessels,483,16758
steamboat,59,9790
Neaples vessels,863,29875
steamboat,102,24917
Sicily vessels,144,23417
steamboat,59,21389
Toscana steamboat,,
Liguria and Sardegna vessels,20,6202
steamboat,53,58853
Europe 2,,
Montenegro vessels,1,34
Portugal vessels,,
steamboat,1,788
Rumenia steamboat,4,4174
Russia Black sea vessels,,
steamboat,80,82114
Spain vessels,1,148
steamboat,1,1305
Turkey vessels,104,8089
steamboat,282,262452!
,,
Total vessel,4305,174325
total steamboat,3551,1282649
Total all together,7856,1457174
