Austria-Hungary,,
Austro-Illirian Litoral vessel,1661,35165
steamboat,3483,195549
Hungarian Litoral vessel,36,3130
steamboat,113,46466
Dalmatia vessel,198,6608
steamboat,617,192541
total vessel,1895,44903
total steamboat,4213,434556
Africa,,
Egypt vessels,1,303
steamboat,71,140413
Algeria vessels,3,550
steamboat,1,220
Tripoli vessels,3,488
steamboat,,
Tunisia vessels,,
steamboat,13,5957
Massaua,,
Americas,,
Canada UK – steamboat,,
USA vessels,3,2716
steamboat,32,58378
Jamaica - UK vessels,1,504
Barbados - UK vessels,,
Brazil steamboat,16,23665
Argentina vessels,,
Asia,,
India - UK steamboat,13,28714
Japan steamboat,12,29442
Australia – steamboat,,
Europe1,,
Hamburg steamboat,21,21424
Belgium steamboat,2,2650
Bulgaria steamboat,,
Atlantic France vessels,1,773
steamboat,27,28825
Mediterranean France vessels,3,1104
steamboat,87,67347
Germany steamboat,,
UK vessels,,
steamboat,101,125851
Gibraltar - UK steamboat,,
Malta - UK vessels,1,416
steamboat,1,248
Cyprus – UK  vessels,3,367
steamboat,1,964
Greece vessels,63,7746
steamboat,13,14619
Italy,,
Veneto vessels,360,9583
steamboat,271,163082
Romagna e Marche vessels,434,12618
steamboat,72,12080
Neaples vessels,218,11654
steamboat,136,48251
Sicily vessels,91,15624
steamboat,70,29810
Toscana vessels,,
Liguria and Sardegna vessels,17,5238
steamboat,65,59888
Europe 2,,
Montenegro vessels,2,70
steamboat,,
Low Countries steamboat,2,2605
Portugal vessels,,
Rumenia  steamboat,1,261
Russia Black sea vessels,41,45831
steamboat,2,1101
Spain vessels,72,100091
steamboat,3,1968
Sweden and Norway vessels,3,2989
Turkey vessels,68,5197
steamboat,244,219623
,,
Total vessel,3172,122923
total steamboat,5601,1662784
Total all together,8778,1785707
