2157,35811
2883,123278
76,5165
84,38277
378,14027
264,71795
2611,55003
2731,228345
,
,
19,38588
,
,
11,15652
2,1999
3,667
57,78414
,
5,2522
2,2062
17,5351
3,1817
15,6522
14,30735
9,17073
,
,
14,10168
2,1428
,
1,595
,
30,27810
17,7879
10,4897
106,137137
,
1,51
3,262
11,4286
,
122,13416
124,62979
270,5555
282,174471
476,16726
60,15232
401,33620
76,19019
134,23544
23,7316
,
87,7093
55,54082
4,119
1,245
,
,
88,85281
,
3,2045
110,8348
202,232355
4107,177005
8995,1264245
8102,1441236
