Austria-Hungary,,
Austro-Illirian Litoral vessel,2157,35811
steamboat,2883,123278
Hungarian Litoral vessel,76,5165
steamboat,84,38277
Dalmatia vessel,378,14027
steamboat,264,71795
total vessel,2611,55003
total steamboat,2731,228345
Americas,,
Canada UK vessels,,
USA vessels,,
steamboat,19,38588
Barbados – UK vessels,,
Brazil vessels,,
steamboat,11,15652
Argentina steamboat,2,1999
Africa,,
Egypt vessels,3,667
steamboat,57,78414
Massaua steamboat,,
Algeria vessels,5,2522
steamboat,2,2062
Tripoli steamboat,17,5351
Tunisia vessels,3,1817
steamboat,15,6522
Asia,,
India – UK steamboat,14,30735
China steamboat,9,17073
Japan steamboat,,
Australia vessels,,
Europe1,,
Hamburg steamboat,14,10168
Belgium steamboat,2,1428
Bulgaria steamboat,,
Denmark steamboat,1,595
Atlantic France vessels,,
steamboat,30,27810
Mediterranean France,17,7879
steamboat,10,4897
UK steamboat,106,137137
Gibraltar – UK vessels,,
steamboat,1,51
Malta – UK vessels,3,262
steamboat,11,4286
Cyprus UK vessels,,
Greece vessels,122,13416
steamboat,124,62979
Italy,,
Veneto vessels,270,5555
steamboat,282,174471
Romagna e Marche vessels,476,16726
steamboat,60,15232
Neaples vessels,401,33620
steamboat,76,19019
Sicily vessels,134,23544
steamboat,23,7316
Toscana steamboat,,
Liguria and Sardegna vessels,87,7093
steamboat,55,54082
Europe 2,,
Montenegro vessels,4,119
Portugal vessels,1,245
steamboat,,
Rumenia steamboat,,
Russia Black sea vessels,,
steamboat,88,85281
Spain vessels,,
steamboat,3,2045
Turkey vessels,110,8348
steamboat,202,232355
,,
Total vessel,4107,177005
total steamboat,8995,1264245
Total all together,8102,1441236
