Austria-Hungary,,
Austro-Illirian Litoral vessel,2191,40001
steamboat,2412,133590
Hungarian Litoral vessel,158,6977
steamboat,82,36865
Dalmatia vessel,324,12920
steamboat,267,72335
total vessel,2668,59898
total steamboat,2761,242790
Americas,,
Canada UK vessels,1,591
USA vessels,10,5800
steamboat,3,5715
Bermuda UK vessels,,
Jamaica – UK vessels,4,1948
Trinidad – UK vessels,,
Brazil vessels,3,511
steamboat,20,28348
Uruguay vessels,,
Africa,,
Egypt vessels,,
steamboat,56,767440
Algeria vessels,11,4294
steamboat,1,197
Tripoli vessels,,
Tunisia vessels,2,176
steamboat,1,245
Western Africa steamboat,,
Asia,,
Aden – UK steamboat,1,1092
India – UK steamboat,33,61015
Siam – UK vessels,1,640
China vessels,,
steamboat,8,15163
Japan steamboat,2,2777
Europe1,,
Hamburg steamboat,16,11678
Belgium steamboat,1,1781
Bulgaria steamboat,,
Atlantic France steamboat,4,3019
Mediterranean France,4,754
steamboat,59,54581
Germany steamboat,,
UK vessels,3,661
steamboat,145,179453
Gibraltar – UK steamboat,1,1249
Malta – UK vessels,,
steamboat,24,9019
Cyprus UK vessels,,
Greece vessels,152,20474
steamboat,116,59738
Italy,,
Veneto vessels,406,12680
steamboat,289,178188
Romagna e Marche vessels,432,17603
steamboat,60,15491
Neaples vessels,324,26639
steamboat,72,18686
Sicily vessels,53,11443
steamboat,50,16569
Toscana vessels,,
steamboat,1,337
Liguria and Sardegna vessels,3,914
steamboat,9,11531
Europe 2,,
Montenegro vessels,1,82
steamboat,,
Low Countries steamboat,1,964
Portugal vessels,,
Rumenia vessels,,
 steamboat,,
Russia Black sea vessels,,
steamboat,64,624628
Spain vessels,,
steamboat,1,567
Sweden and Norway vessels,,
steamboat,4,1569
Turkey vessels,116,8774
steamboat,216,213599
,,
Total vessel,4194,178347
total steamboat,4019,1274593
Total all together,82113,1447940
