Austria-Hungary vessels,1118,32458
steamboat,5778,606581
Belgium steamboat,8,9760
Bulgaria steamboat,,
Crete – Turkey vessels,18,2085
steamboat,9,12868
France vessels,,
steamboat,148,122578
Germany steamboat,26,28806
Gibraltar - UK vessels,,
steamboat,,
UK steamboat,108,152123
Greece vessels,70,11713
steamboat,59,44154
Italy vessels,1894,53352
steamboat,637,351980
Malta - UK vessels,,
steamboat,9,6454
Montenegro vessels,3,88
steamboat,1,25
Low Countries steamboat,3,4006
Portugal steamboat,1,1331
Rumenia steamboat,80,107931
Russia Black sea vessels,,
steamboat ,98,186627
Spain vessels,,
 steamboat,6,10079
European Turkey vessels,60,2202
steamboat,82,84312
Asian Turkey vessels,16,2534
steamboat,129,132098
Cyprus – UK vessels,2,435
 steamboat,1,828
Persia steamboat,1,1753
India - UK steamboat,34,82684
China steamboat,,
Japan steamboat,14,48480
Egypt vessels,2,570
steamboat,62,136678
Tripoli vessels,3,296
steamboat,1,814
Tunisia vessels,1,221
steamboat,8,2842
Algeria vessels,,
steamboat,8,5160
Morocco steamboat,1,830
Eastern Africa Portugal steamboat,,
South Africa – UK steamboat,,
Canada – UK vessels,,
steamboat,,
USA vessels,4,2805
steamboat,39,69741
Mexico steamboat,,
Caribbean – France vessels,1,346
Caribbean - UK vessels,2,1437
Brazil steamboat,16,24527
Argentina vessels,,
steamboat,,
Australia vessels,1,1882
Total vessel,2690,111924
total steamboat,7852,2180040
Total all together,10042,2201964
