Austria-Hungary vessels,1025,32172
steamboat,5719,594769
Belgium steamboat,2,2456
Bulgaria vessels,,
 steamboat,2,2326
Crete – Turkey vessels,2,306
steamboat,4,4824
France vessels,2,494
steamboat,148,121260
Germany steamboat,25,26821
Gibraltar - UK steamboat,,
UK vessels,,
steamboat,148,217067
Greece vessels,47,7288
steamboat,64,49704
Italy vessels,1460,51906
steamboat,690,365583
Malta - UK vessels,,
steamboat,12,5850
Montenegro vessels,4,123
steamboat,,
Low Countries steamboat,2,5196
Portugal steamboat,1,140
Rumenia  vessels,,
steamboat,56,75873
Russia Black sea steamboat,49,62186
Spain steamboat,1,1431
Sweden and Norway steamboat,,
European Turkey vessels,63,3011
steamboat,76,87025
Asian Turkey vessels,7,1053
steamboat,129,125730
Cyprus – UK  steamboat,1,1053
India - UK steamboat,45,105181
Indo-China France steamboat,,
China steamboat,2,3776
Japan steamboat,12,35697
Egypt steamboat,65,140750
Tripoli vessels,2,102
Tunisia vessels,,
steamboat,1,823
Algeria vessels,5,1584
steamboat,9,5125
Morocco steamboat,,
Eastern Africa Portugal steamboat,,
South Africa – UK steamboat,2,3444
Western Africa France steamboat,1,987
Western Africa UK steamboat,,
USA vessels,10,6428
steamboat,57,99765
Mexico steamboat,,
Caribbean - UK vessels,1,791
Brazil vessels,,
steamboat,15,23713
Argentina vessels,,
steamboat,1,1709
Chile steamboat,3,3270
Australia – steamboat,,
Total vessel,2631,108537
total steamboat,7339,2170264
Total all together,9970,2278801
