Austria-Hungary vessels,1231,36273
steamboat,5584,701388
Belgium steamboat,8,12058
Bulgaria steamboat,2,2941
Crete – Turkey vessels,23,4045
steamboat,2,1426
France vessels,1,234
steamboat,90,71808
Germany steamboat,33,38621
Gibraltar - UK vessels,,
steamboat,,
UK steamboat,112,173568
Greece vessels,62,10806
steamboat,73,68835
Italy vessels,1427,54601
steamboat,587,438960
Malta - UK vessels,2,202
steamboat,5,3504
Montenegro vessels,2,106
steamboat,4,741
Low Countries steamboat,4,7598
Portugal steamboat,,
Rumenia steamboat,54,90149
Russia Black sea vessels,,
steamboat ,121,190963
Spain vessels,2,2110
 steamboat,51,48075
European Turkey vessels,59,1722
steamboat,180,178859
Asian Turkey vessels,11,4688
steamboat,136,132759
Cyprus – UK vessels,,
 steamboat,,
Persia steamboat,,
India - UK steamboat,23,65066
China steamboat,1,2643
Japan steamboat,15,47930
Egypt vessels,3,1109
steamboat,61,183725
Tripoli vessels,2,307
steamboat,,
Tunisia vessels,,
steamboat,,
Algeria vessels,,
steamboat,1,384
Morocco steamboat,24,17165
Eastern Africa Portugal steamboat,,
South Africa – UK steamboat,6,13959
Canada – UK vessels,,
steamboat,,
USA vessels,1,955
steamboat,63,134093
Mexico steamboat,9,14499
Caribbean – France vessels,,
Caribbean - UK vessels,1,360
Brazil steamboat,15,25110
Argentina vessels,1,1382
steamboat,1,2227
Australia vessels,,
Total vessel,2828,118900
total steamboat,7265,2619049
Total all together,10093,2737949
