Austria-Hungary,,
Austro-Illirian Litoral vessel,2325,46813
steamboat,1963,112008
Hungarian Litoral vessel,126,5993
steamboat,131,39498
Dalmatia vessel,193,8685
steamboat,461,137473
total vessel,2644,61521
total steamboat,2545,288979
Americas,,
Canada UK vessels,,
USA vessels,25,13465
steamboat,7,13211
Bermuda UK vessels,,
Jamaica - UK vessels,5,2528
Trinidad - UK vessels,1,269
Brazil vessels,,
steamboat,19,23681
Uruguay vessels,1,311
Africa,,
Egypt vessels,1,399
steamboat,57,95708
Algeria vessels,12,4010
steamboat,2,1383
Tripoli vessels,,
Tunisia vessels,1,259
steamboat,10,5341
Western Africa steamboat,,
Asia,,
Aden - UK steamboat,,
India - UK steamboat,23,46455
Siam - UK vessels,,
China vessels,,
steamboat,10,18310
Japan steamboat,,
Europe1,,
Hamburg steamboat,19,17858
Belgium steamboat,,
Bulgaria steamboat,,
Atlantic France steamboat,4,2890
Mediterranean France,7,2166
steamboat,57,52459
Germany steamboat,1,316
UK vessels,7,3304
steamboat,130,161016
Gibraltar - UK steamboat,,
Malta - UK vessels,,
steamboat,19,8427
Cyprus UK vessels,2,289
Greece vessels,64,7981
steamboat,8,5544
Italy,,
Veneto vessels,418,14172
steamboat,297,152104
Romagna e Marche vessels,338,13795
steamboat,60,15375
Neaples vessels,188,16310
steamboat,100,25410
Sicily vessels,75,12439
steamboat,98,37560
Toscana vessels,"",
steamboat,1,942
Liguria and Sardegna vessels,4,1582
steamboat,22,13138
Europe 2,,
Montenegro vessels,1,34
steamboat,,
Low Countries steamboat,1,1185
Portugal vessels,2,200
Rumenia vessels,1,180
 steamboat,1,934
Russia Black sea vessels,,
steamboat,21,31411
Spain vessels,3,1789
steamboat,,1498
Sweden and Norway vessels,,
steamboat,1,431
Turkey vessels,91,9169
steamboat,305,284576,,
Total vessel,3886,166072
total steamboat,3820,1306142
Total all together,7706,1472214
