Austria-Hungary,,
Austro-Illirian Litoral vessel,2807,48467
steamboat,1948,108945
Hungarian Litoral vessel,65,5842
steamboat,130,41794
Dalmatia vessel,178,6009
steamboat,466,137865
total vessel,2550,554318
total steamboat,2544,288604
Americas,,
Canada UK vessels,2,1277
USA vessels,3,1600
steamboat,16,34260
Barbados – UK vessels,1,582
Brazil vessels,,
steamboat,12,14659
Argentina steamboat,,
Africa,,
Egypt vessels,19,8924
steamboat,65,103819
Massaua steamboat,,
Algeria vessels,4,1295
steamboat,4,4567
Tripoli steamboat,17,8434
Tunisia vessels,3,808
steamboat,14,5611
Asia,,
India – UK steamboat,15,31272
China steamboat,11,20991
Japan steamboat,1,2643
Australia vessels,,
Europe1,,
Hamburg steamboat,18,17625
Belgium steamboat,3,4700
Bulgaria steamboat,1,215
Denmark steamboat,,
Atlantic France vessels,1,614
steamboat,24,21760
Mediterranean France,5,1533
steamboat,14,11749
UK steamboat,90,106386
Gibraltar – UK vessels,,
steamboat,,
Malta – UK vessels,1,274
steamboat,3,3255
Cyprus UK vessels,3,474
Greece vessels,74,10419
steamboat,7,5515
Italy,,
Veneto vessels,213,5349
steamboat,292,147369
Romagna e Marche vessels,427,14871
steamboat,55,9917
Neaples vessels,274,22833
steamboat,121,35892
Sicily vessels,131,22228
steamboat,73,27078
Toscana steamboat,,
Liguria and Sardegna vessels,22,5876
steamboat,63,60550
Europe 2,,
Montenegro vessels,3,58
Portugal vessels,,
steamboat,,
Rumenia steamboat,,
Russia Black sea vessels,1,311
steamboat,36,50261
Spain vessels,3,952
steamboat,8,3094
Turkey vessels,93,8971
steamboat,302,278334
,,
Total vessel,3833,164567
total steamboat,3804,1298560
Total all together,7637,1463127
