Austria-Hungary vessels,745,23401
steamboat,5676,788040
Belgium steamboat,7,9815
Bulgaria steamboat,1,1694
Crete – Turkey vessels,17,3079
steamboat,6,7433
France vessels,,
steamboat,71,67082
Germany steamboat,27,37939
Gibraltar - UK vessels,,
steamboat,,
UK vessels,,
steamboat,97,164671
Greece vessels,61,13035
steamboat,47,57079
Italy vessels,1336,54857
steamboat,493,400808
Malta - UK vessels,1,237
steamboat,1,2311
Montenegro vessels,1,88
steamboat,,
Low Countries steamboat,5,9227
Portugal steamboat,1,1149
Rumenia  steamboat,67,123124
Russia Black sea steamboat,75,127277
Spain vessels,1,209
steamboat,54,48781
European Turkey vessels,43,2166
steamboat,188,203634
Asian Turkey vessels,4,1105
steamboat,123,134847
Aden UK – steamboat,,
India - UK steamboat,39,101953
China steamboat,,
Japan steamboat,12,46344
Egypt vessels,,
steamboat,64,144520
Tripoli vessels,4,687
steamboat,,
Tunisia vessels,,
steamboat,1,1184
Algeria steamboat,,
Morocco steamboat,12,9227
South Africa – UK steamboat,12,32160
Canarias – Spain vessels,,
USA vessels,,
steamboat,108,387817
Mexico steamboat,,
Caribbean – France vessels,4,5835
Caribbean - UK vessels,,
Brazil steamboat,7,11892
Uruguay vessels,,
Argentina vessels,13,23718
steamboat,1,1447
Chile vessels,1,1379
Total vessel,2215,101690
total steamboat,7211,2949561
Total all together,9426,3051251
